AdsetId;AdvertiserId;Placement;Environment;AdsetName;AdvertiserName;CampaignId;CampaignName;Currency;clicks;displays;cost;salesPc30d;salesPv1d;revenuePc30d;revenuePv1d;cosPc30d;cosPv1d;roasPc30d;roasPv1d;cpoPc30d;cpoPv1d;cvrPc30d;cvrPv1d
3021;1138;tennistemple.com;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;3;1539;0.25;0;2;0;2360000;0;0;0;9597453.74;0;0.12;0;0.6667
3021;1138;lachainemeteo.com;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;49;1536;2.85;1;2;1550000;4082000;0;0;543543.88;1431449.11;2.85;1.43;0.0204;0.0408
3021;1138;autoscout24.fr;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;21;1521;1.4;1;0;720000;0;0;0;515721.77;0;1.4;0;0.0476;0
3021;1138;flashscore.fr;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;37;1519;1.13;0;0;0;0;0;0;0;0;0;0;0;0
3021;1138;verif.com;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;14;1498;0.73;0;9;0;50606262;0;0;0;69589744.43;0;0.08;0;0.6429
3021;1138;L'Équipe;app;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;96;1497;3.2;0;0;0;0;0;0;0;0;0;0;0;0
3021;1138;01-edito-atf-laplacemedia-1.fr;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;50;1494;3.61;3;8;2093000;7789000;0;0;579568.56;2156836.85;1.2;0.45;0.06;0.16
3021;1138;lesanciennes.com;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;18;1491;0.83;0;0;0;0;0;0;0;0;0;0;0;0
3021;1138;Weather Radar - Meteored News;app;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;151;1487;6.55;3;2;11769000;1269000;0;0;1796542.3;193713.33;2.18;3.28;0.0199;0.0132
3021;1138;Programme TV Télé-Loisirs;app;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;151;1483;6.51;4;2;3809500;2267500;0;0;584733.03;348046.24;1.63;3.26;0.0265;0.0132
3021;1138;haaretz.co.il;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;17;1469;0.19;0;0;0;0;0;0;0;0;0;0;0;0
3021;1138;onvasortir.com;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;30;1468;0.61;2;0;1705000;0;0;0;2772738.23;0;0.31;0;0.0667;0
3021;1138;hln.be;web;dis-conv_retargeting_x_france_x_x_x_x_fr_display_iab_x_x_x_x_oa_bd_retargeting_allaudiences_x;Belles Demeures FR;15028;dis-conv_seeker-luxury_bd_b2c_criteo_retargeting_x_x_france_x_x_x_fr_x_display_iab_x;EUR;114;1461;3.32;0;1;0;780000;0;0;0;234642.34;0;3.32;0;0.0088
